予約ID,顧客ID,部屋番号,宿泊人数,チェックイン日,チェックアウト日,チェックイン時間,チェックアウト時間,宿泊プラン,予約経路,客層,シーズン区分
R00085,c1341,216,1,2025-01-07,2025-01-08,17:00,9:00,素泊まり,直接,登山,通常期
R00086,c0536,215,2,2025-01-07,2025-01-10,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R00087,c0367,213,2,2025-01-07,2025-01-09,18:00,9:00,朝食付き,OTA,遠征,通常期
R00088,c0283,217,1,2025-01-07,2025-01-09,17:00,10:00,朝食付き,直接,観光,通常期
R00089,c0694,206,1,2025-01-07,2025-01-10,15:00,9:00,素泊まり,OTA,観光,通常期
R00090,c0181,214,1,2025-01-07,2025-01-08,17:00,9:00,素泊まり,直接,その他,通常期
R00091,c1458,201,1,2025-01-07,2025-01-08,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R00092,c1647,203,2,2025-01-07,2025-01-09,16:00,5:00,素泊まり,OTA,登山,通常期
R00093,c1342,216,1,2025-01-08,2025-01-09,17:00,6:00,素泊まり,OTA,登山,通常期
R00094,c0411,214,1,2025-01-08,2025-01-11,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R00095,c0464,208,1,2025-01-08,2025-01-09,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R00096,c0149,201,2,2025-01-08,2025-01-09,16:00,9:00,朝食付き,直接,観光,通常期
R00097,c1577,212,1,2025-01-08,2025-01-11,18:00,8:00,2食付き,OTA,ビジネス,通常期
R00098,c0784,211,1,2025-01-08,2025-01-09,20:00,9:00,素泊まり,直接,その他,通常期
R00099,c1705,202,2,2025-01-08,2025-01-11,18:00,8:00,朝食付き,直接,ビジネス,通常期
R00100,c1832,210,2,2025-01-08,2025-01-11,17:00,7:00,素泊まり,直接,ビジネス,通常期
R00101,c1788,217,2,2025-01-08,2025-01-09,16:00,10:00,素泊まり,OTA,登山,通常期
R00102,c0161,213,2,2025-01-08,2025-01-10,18:00,7:00,朝食付き,直接,ビジネス,通常期
R00103,c1805,203,2,2025-01-08,2025-01-09,16:00,7:00,素泊まり,OTA,登山,通常期
R00104,c1077,205,2,2025-01-08,2025-01-09,20:00,9:00,素泊まり,直接,その他,通常期
R00105,c0937,101,1,2025-01-09,2025-01-12,16:00,10:00,2食付き,OTA,観光,通常期
R00106,c0207,208,2,2025-01-09,2025-01-12,15:00,9:00,朝食付き,直接,観光,通常期
R00107,c1256,207,2,2025-01-09,2025-01-10,17:00,7:00,素泊まり,OTA,登山,通常期
R00108,c0924,215,1,2025-01-09,2025-01-10,16:00,10:00,朝食付き,OTA,観光,通常期
R00109,c1754,217,2,2025-01-09,2025-01-10,17:00,10:00,素泊まり,直接,その他,通常期
R00110,c1830,212,2,2025-01-09,2025-01-10,16:00,5:00,素泊まり,OTA,登山,通常期
R00111,c1667,201,2,2025-01-09,2025-01-10,18:00,7:00,朝食付き,直接,ビジネス,通常期
R00112,c1909,216,2,2025-01-09,2025-01-11,19:00,9:00,素泊まり,OTA,遠征,通常期
R00113,c1103,213,1,2025-01-09,2025-01-11,17:00,9:00,朝食付き,OTA,観光,通常期
R00114,c0587,203,2,2025-01-09,2025-01-12,18:00,8:00,2食付き,直接,ビジネス,通常期
R00115,c1739,206,1,2025-01-09,2025-01-11,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R00116,c0810,205,2,2025-01-09,2025-01-12,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R00117,c0343,210,1,2025-01-10,2025-01-12,17:00,9:00,素泊まり,OTA,登山,通常期
R00118,c0196,207,1,2025-01-10,2025-01-12,18:00,7:00,素泊まり,直接,ビジネス,通常期
R00119,c0213,101,2,2025-01-10,2025-01-11,15:00,10:00,朝食付き,OTA,観光,通常期
R00120,c1284,206,1,2025-01-10,2025-01-14,18:00,7:00,素泊まり,直接,ビジネス,通常期
R00121,c1770,216,2,2025-01-10,2025-01-11,15:00,10:00,素泊まり,OTA,登山,通常期
R00122,c1105,205,1,2025-01-10,2025-01-12,17:00,8:00,素泊まり,OTA,登山,通常期
R00123,c0635,212,2,2025-01-10,2025-01-13,17:00,10:00,朝食付き,OTA,観光,通常期
R00124,c0622,211,1,2025-01-10,2025-01-11,18:00,8:00,,直接,ビジネス,通常期
R00125,c1889,202,2,2025-01-10,2025-01-11,16:00,7:00,素泊まり,直接,登山,通常期
R00126,c1123,209,2,2025-01-10,2025-01-11,16:00,10:00,朝食付き,OTA,観光,通常期
R00127,c0799,217,2,2025-01-10,2025-01-12,16:00,6:00,素泊まり,OTA,登山,通常期
R00128,c0551,215,2,2025-01-10,2025-01-12,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R00129,c0558,214,2,2025-01-10,2025-01-12,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R00130,c0257,206,2,2025-01-11,2025-01-12,17:00,7:00,2食付き,直接,ビジネス,通常期
R00131,c1610,202,2,2025-01-11,2025-01-13,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R00132,c0115,209,2,2025-01-11,2025-01-12,16:00,9:00,2食付き,OTA,観光,通常期
R00133,c0782,212,1,2025-01-11,2025-01-15,17:00,7:00,2食付き,直接,ビジネス,通常期
R00134,c0408,201,2,2025-01-11,2025-01-12,16:00,8:00,素泊まり,OTA,登山,通常期
R00135,c0662,211,1,2025-01-11,2025-01-13,18:00,8:00,朝食付き,直接,ビジネス,通常期
R00136,c1818,217,1,2025-01-11,2025-01-12,18:00,8:00,朝食付き,直接,ビジネス,通常期
R00137,c0566,213,1,2025-01-11,2025-01-12,17:00,8:00,素泊まり,直接,ビジネス,通常期
R00138,c0323,101,2,2025-01-11,2025-01-12,18:00,7:00,素泊まり,直接,ビジネス,通常期
R00139,c1621,203,1,2025-01-11,2025-01-12,18:00,9:00,朝食付き,OTA,遠征,通常期
R00140,c1484,208,1,2025-01-11,2025-01-14,18:00,7:00,素泊まり,直接,ビジネス,通常期
R00141,c0713,205,2,2025-01-11,2025-01-15,18:00,8:00,素泊まり,直接,ビジネス,通常期
R00142,c1110,207,2,2025-01-11,2025-01-13,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R00143,c0746,210,1,2025-01-11,2025-01-13,17:00,6:00,朝食付き,OTA,登山,通常期
R00144,c0580,215,2,2025-01-11,2025-01-15,17:00,8:00,朝食付き,直接,ビジネス,通常期
R00145,c1789,214,1,2025-01-11,2025-01-12,17:00,7:00,2食付き,直接,ビジネス,通常期
R00146,c1437,216,2,2025-01-11,2025-01-12,15:00,10:00,朝食付き,OTA,観光,通常期
R00147,c1705,214,1,2025-01-12,2025-01-13,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R00148,c1264,203,2,2025-01-12,2025-01-14,19:00,9:00,朝食付き,直接,遠征,通常期
R00149,c1486,203,1,2025-01-13,2025-01-15,15:00,6:00,2食付き,直接,登山,通常期
R00150,c1181,211,2,2025-01-13,2025-01-15,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R00151,c1034,210,2,2025-01-13,2025-01-15,15:00,6:00,素泊まり,OTA,登山,通常期
R00152,c0665,217,2,2025-01-13,2025-01-16,16:00,10:00,2食付き,OTA,観光,通常期
R00153,c1127,216,2,2025-01-13,2025-01-15,18:00,10:00,朝食付き,OTA,遠征,通常期
R00154,c1061,209,1,2025-01-13,2025-01-15,15:00,9:00,2食付き,OTA,観光,通常期
R00155,c1684,202,2,2025-01-13,2025-01-16,17:00,7:00,2食付き,直接,ビジネス,通常期
R00156,c0320,214,1,2025-01-13,2025-01-16,17:00,9:00,素泊まり,OTA,観光,通常期
R00157,c0819,207,1,2025-01-13,2025-01-14,15:00,7:00,朝食付き,直接,登山,通常期
R00158,c1181,213,1,2025-01-13,2025-01-15,15:00,8:00,朝食付き,OTA,登山,通常期
R00159,c1802,215,2,2025-01-13,2025-01-17,17:00,7:00,2食付き,直接,ビジネス,通常期
R00160,c1299,101,2,2025-01-13,2025-01-14,17:00,10:00,朝食付き,OTA,登山,通常期
R00161,c0314,214,1,2025-01-14,2025-01-16,17:00,9:00,朝食付き,OTA,観光,通常期
R00162,c0808,217,1,2025-01-14,2025-01-15,21:00,9:00,素泊まり,直接,その他,通常期
R00163,c1585,215,1,2025-01-14,2025-01-15,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R00164,c1262,206,1,2025-01-14,2025-01-15,16:00,10:00,朝食付き,直接,観光,通常期
R00165,c0749,216,2,2025-01-14,2025-01-18,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R00166,c1645,210,2,2025-01-14,2025-01-15,18:00,7:00,2食付き,OTA,ビジネス,通常期
R00167,c0176,213,1,2025-01-14,2025-01-15,15:00,10:00,素泊まり,OTA,観光,通常期
R00168,c0625,209,2,2025-01-14,2025-01-16,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R00169,c0290,201,1,2025-01-14,2025-01-16,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R00170,c1427,101,2,2025-01-14,2025-01-15,16:00,6:00,素泊まり,直接,登山,通常期
R00171,c1870,212,2,2025-01-14,2025-01-15,18:00,9:00,朝食付き,OTA,遠征,通常期
R00172,c1852,205,2,2025-01-14,2025-01-18,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R00173,c1898,217,1,2025-01-15,2025-01-16,15:00,9:00,朝食付き,OTA,観光,通常期
R00174,c0711,209,2,2025-01-15,2025-01-17,16:00,8:00,素泊まり,直接,登山,通常期
R00175,c1669,101,1,2025-01-15,2025-01-18,17:00,8:00,2食付き,OTA,ビジネス,通常期
R00176,c0180,210,2,2025-01-15,2025-01-16,15:00,7:00,朝食付き,OTA,登山,通常期
R00177,c0640,211,2,2025-01-15,2025-01-16,19:00,8:00,朝食付き,OTA,遠征,通常期
R00178,c1073,214,1,2025-01-15,2025-01-17,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R00179,c1142,208,1,2025-01-15,2025-01-16,17:00,9:00,2食付き,OTA,登山,通常期
R00180,c0848,205,2,2025-01-15,2025-01-16,17:00,5:00,素泊まり,OTA,登山,通常期
R00181,c1562,201,2,2025-01-15,2025-01-17,15:00,6:00,素泊まり,直接,登山,通常期
R00182,c1598,206,2,2025-01-15,2025-01-16,18:00,10:00,素泊まり,直接,遠征,通常期
R00183,c1007,213,2,2025-01-15,2025-01-17,17:00,10:00,素泊まり,OTA,登山,通常期
R00184,c0456,212,1,2025-01-15,2025-01-16,18:00,7:00,2食付き,OTA,ビジネス,通常期
R00185,c0876,101,2,2025-01-16,2025-01-20,18:00,8:00,2食付き,OTA,ビジネス,通常期
R00186,c1217,210,1,2025-01-16,2025-01-18,19:00,9:00,朝食付き,OTA,遠征,通常期
R00187,c0794,208,1,2025-01-16,2025-01-17,15:00,10:00,2食付き,直接,観光,通常期
R00188,c1883,217,1,2025-01-16,2025-01-18,16:00,10:00,素泊まり,直接,観光,通常期
R00189,c0369,207,1,2025-01-16,2025-01-18,17:00,8:00,素泊まり,OTA,登山,通常期
R00190,c0414,216,2,2025-01-16,2025-01-17,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R00191,c0744,212,1,2025-01-16,2025-01-18,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R00192,c0687,203,1,2025-01-16,2025-01-18,18:00,8:00,素泊まり,直接,ビジネス,通常期
R00193,c0914,202,2,2025-01-16,2025-01-17,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R00194,c0940,214,2,2025-01-16,2025-01-18,17:00,7:00,朝食付き,直接,ビジネス,通常期
R00195,c0975,213,2,2025-01-16,2025-01-17,17:00,10:00,素泊まり,OTA,観光,通常期
R00196,c1691,206,1,2025-01-16,2025-01-17,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R00197,c1717,215,2,2025-01-17,2025-01-20,17:00,7:00,2食付き,OTA,ビジネス,通常期
R00198,c1354,207,1,2025-01-17,2025-01-18,18:00,7:00,素泊まり,直接,ビジネス,通常期
R00199,c1839,211,2,2025-01-17,2025-01-19,15:00,5:00,素泊まり,OTA,登山,通常期
R00200,c0563,205,2,2025-01-17,2025-01-18,16:00,8:00,素泊まり,OTA,登山,通常期
R00201,c1289,208,1,2025-01-17,2025-01-20,15:00,9:00,素泊まり,OTA,観光,通常期
R00202,c1178,203,2,2025-01-17,2025-01-19,19:00,10:00,2食付き,OTA,遠征,通常期
R00203,c0477,202,2,2025-01-17,2025-01-19,19:00,9:00,朝食付き,OTA,遠征,通常期
R00204,c1261,214,2,2025-01-17,2025-01-18,18:00,7:00,朝食付き,直接,ビジネス,通常期
R00205,c0139,216,2,2025-01-17,2025-01-19,17:00,7:00,朝食付き,直接,ビジネス,通常期
R00206,c1262,206,1,2025-01-17,2025-01-18,15:00,10:00,朝食付き,OTA,観光,通常期
R00207,c0987,209,1,2025-01-17,2025-01-20,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R00208,c1068,101,2,2025-01-17,2025-01-19,16:00,8:00,2食付き,直接,登山,通常期
R00209,c1819,217,2,2025-01-17,2025-01-18,18:00,10:00,朝食付き,OTA,遠征,通常期
R00210,c1170,202,2,2025-01-18,2025-01-19,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R00211,c1797,213,1,2025-01-18,2025-01-21,18:00,7:00,素泊まり,直接,ビジネス,通常期
R00212,c1608,203,1,2025-01-18,2025-01-20,15:00,9:00,素泊まり,直接,登山,通常期
R00213,c0316,217,1,2025-01-18,2025-01-20,17:00,5:00,素泊まり,OTA,登山,通常期
R00214,c1684,216,1,2025-01-18,2025-01-21,16:00,10:00,素泊まり,OTA,観光,通常期
R00215,c1737,207,1,2025-01-18,2025-01-22,17:00,7:00,素泊まり,直接,ビジネス,通常期
R00216,c1554,205,2,2025-01-18,2025-01-19,17:00,10:00,素泊まり,直接,登山,通常期
R00217,c0904,201,1,2025-01-18,2025-01-20,17:00,8:00,素泊まり,直接,ビジネス,通常期
R00218,c0653,208,2,2025-01-18,2025-01-19,17:00,7:00,素泊まり,直接,ビジネス,通常期
R00219,c1828,215,2,2025-01-18,2025-01-20,17:00,6:00,素泊まり,OTA,登山,通常期
R00220,c0874,101,2,2025-01-18,2025-01-19,18:00,7:00,素泊まり,直接,ビジネス,通常期
R00221,c1675,210,1,2025-01-18,2025-01-21,17:00,10:00,朝食付き,直接,観光,通常期
R00222,c1884,212,2,2025-01-18,2025-01-19,19:00,10:00,素泊まり,OTA,遠征,通常期
R00223,c1835,206,2,2025-01-18,2025-01-22,18:00,7:00,2食付き,直接,ビジネス,通常期
R00224,c0232,211,2,2025-01-18,2025-01-21,18:00,8:00,素泊まり,直接,ビジネス,通常期
R00225,c0831,214,1,2025-01-18,2025-01-20,16:00,9:00,素泊まり,OTA,登山,通常期
R00226,c0500,209,1,2025-01-18,2025-01-20,19:00,9:00,朝食付き,OTA,遠征,通常期
R00227,c1613,211,2,2025-01-19,2025-01-22,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R00228,c1137,214,1,2025-01-19,2025-01-20,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R00229,c1680,203,2,2025-01-20,2025-01-24,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R00230,c1850,201,1,2025-01-20,2025-01-21,18:00,8:00,朝食付き,OTA,遠征,通常期
R00231,c0422,210,2,2025-01-20,2025-01-22,19:00,9:00,朝食付き,OTA,遠征,通常期
R00232,c0183,101,1,2025-01-20,2025-01-22,16:00,10:00,2食付き,OTA,登山,通常期
R00233,c0109,215,1,2025-01-20,2025-01-21,16:00,9:00,朝食付き,OTA,観光,通常期
R00234,c1439,213,2,2025-01-20,2025-01-22,15:00,7:00,朝食付き,直接,登山,通常期
R00235,c0973,207,1,2025-01-20,2025-01-22,16:00,8:00,素泊まり,OTA,登山,通常期
R00236,c0258,202,1,2025-01-20,2025-01-23,18:00,7:00,,OTA,ビジネス,通常期
R00237,c0174,216,1,2025-01-20,2025-01-21,19:00,10:00,素泊まり,OTA,遠征,通常期
R00238,c0869,212,2,2025-01-20,2025-01-22,17:00,10:00,朝食付き,OTA,観光,通常期
R00239,c1028,208,2,2025-01-20,2025-01-24,17:00,8:00,2食付き,直接,ビジネス,通常期
R00240,c0232,214,2,2025-01-20,2025-01-22,15:00,9:00,朝食付き,OTA,観光,通常期
R00241,c0503,205,2,2025-01-21,2025-01-24,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R00242,c1595,217,1,2025-01-21,2025-01-22,19:00,10:00,素泊まり,OTA,遠征,通常期
R00243,c1635,214,2,2025-01-21,2025-01-23,17:00,10:00,朝食付き,OTA,観光,通常期
R00244,c1174,216,1,2025-01-21,2025-01-24,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R00245,c1744,203,2,2025-01-21,2025-01-22,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R00246,c1864,213,1,2025-01-21,2025-01-23,19:00,8:00,朝食付き,OTA,遠征,通常期
R00247,c1766,206,1,2025-01-21,2025-01-23,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R00248,c0785,101,1,2025-01-21,2025-01-23,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R00249,c1316,202,2,2025-01-21,2025-01-22,15:00,9:00,素泊まり,OTA,登山,通常期
R00250,c1943,210,1,2025-01-21,2025-01-23,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R00251,c0592,207,2,2025-01-21,2025-01-23,16:00,6:00,素泊まり,OTA,登山,通常期
R00252,c1881,215,2,2025-01-21,2025-01-22,17:00,8:00,2食付き,OTA,ビジネス,通常期
R00253,c0496,213,1,2025-01-22,2025-01-23,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R00254,c0140,212,1,2025-01-22,2025-01-23,19:00,10:00,素泊まり,直接,遠征,通常期
R00255,c0396,101,1,2025-01-22,2025-01-25,16:00,10:00,,直接,観光,通常期
R00256,c0770,211,1,2025-01-22,2025-01-24,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R00257,c0929,203,2,2025-01-22,2025-01-24,19:00,9:00,朝食付き,直接,遠征,通常期
R00258,c0128,217,2,2025-01-22,2025-01-24,19:00,8:00,朝食付き,OTA,遠征,通常期
R00259,c1902,201,1,2025-01-22,2025-01-23,19:00,9:00,素泊まり,直接,その他,通常期
R00260,c1258,205,1,2025-01-22,2025-01-26,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R00261,c1592,206,2,2025-01-22,2025-01-23,15:00,5:00,,OTA,登山,通常期
R00262,c0546,209,1,2025-01-22,2025-01-25,17:00,9:00,2食付き,OTA,観光,通常期
R00263,c0894,202,2,2025-01-22,2025-01-23,17:00,10:00,2食付き,OTA,登山,通常期
R00264,c1676,208,2,2025-01-22,2025-01-23,17:00,6:00,素泊まり,OTA,登山,通常期
R00265,c1964,214,1,2025-01-23,2025-01-25,16:00,10:00,朝食付き,OTA,観光,通常期
R00266,c0416,212,1,2025-01-23,2025-01-25,15:00,8:00,素泊まり,直接,登山,通常期
